REF-ITEM+7Digital-ID	REF-TEMPO	REF-CLASS
track-Alabama+Can't+Keep+A+Good+Man+Down-3131930	148.000000	3.000000
track-Alabama+Love+In+The+First+Degree-3406473	99.000000	2.000000
track-Alabama+Reckless-3163218	141.000000	2.000000
track-Alabama+Song+Of+The+South-3289814	82.000000	1.000000
track-Alabama+Then+Again-3163200	52.000000	1.000000
track-Alan+Jackson+Dallas-11401306	77.000000	2.000000
track-Alan+Jackson+Here+In+The+Real+World-11401292	89.000000	1.000000
track-Alan+Jackson+I'd+Love+You+All+Over+Again-11401302	85.000000	1.000000
track-Alan+Jackson+I+Still+Like+Bologna-3543962	134.000000	2.000000
track-Alan+Jackson+It's+Just+That+Way-8473567	102.000000	2.000000
track-Alan+Jackson+Little+Man-3379065	120.000000	2.000000
track-Alan+Jackson+Mercury+Blues-3719363	172.000000	3.000000
track-Alan+Jackson+Pop+A+Top-3325955	113.500000	2.000000
track-Alan+Jackson+Right+On+The+Money-3386170	114.000000	2.000000
track-Alan+Parsons+Eye+In+The+Sky-6367151	58.000000	1.000000
track-Alan+Parsons+Games+People+Play-8414905	132.000000	2.000000
track-Alanis+Morissette+All+I+Really+Want-390350	92.000000	2.000000
track-Alberta+Cross+Old+Man+Chicago-6518092	135.000000	2.000000
track-Aldo+Nova+Fantasy-3275471	69.000000	2.000000
track-Alex+Bueno+Donde+Estan+los+Amigos-9543981	148.000000	3.000000
track-Alex+Party+Don't+Give+Me+Your+Life-10332517	129.000000	3.000000
track-Alexis+&+Fido+Eso+Ehh-13015526	95.000000	2.000000
track-Alias+More+Than+Words+Can+Say-250759	70.000000	1.000000
track-Alice+Cooper+Billion+Dollar+Babies-550938	109.500000	2.000000
track-Alice+Cooper+Feed+My+Frankenstein-5293888	102.000000	2.000000
track-Alice+in+Chains+Check+My+Brain-6462192	115.000000	2.000000
track-Alice+in+Chains+Your+Decision-6462194	105.000000	1.000000
track-Alkaline+Trio+Over+And+Out-3048060	136.000000	2.000000
track-All-4-One+So+Much+in+Love-6566675	70.000000	1.000000
track-Allison+Iraheta+Friday+I'll+Be+Over+U-6828275	152.000000	2.000000
track-Allure+Head+Over+Heels-3190983	96.000000	2.000000
track-Allure+Last+Chance-3190992	44.000000	1.000000
track-Alter+Bridge+Broken+Wings-6522311	69.000000	1.000000
track-Alter+Bridge+Watch+Over+You-2855935	83.500000	2.000000
track-Aly+&+AJ+Potential+Breakup+Song-1430598	158.000000	3.000000
track-Amanda+Marshall+Fall+From+Grace-3188164	84.000000	2.000000
track-Amber+This+Is+Your+Night-5490064	130.000000	2.000000
track-Amel+Larrieux+Sweet+Misery-4543538	83.000000	1.000000
track-American+Hi-Fi+Another+Perfect+Day-2356569	87.000000	1.000000
track-Anberlin+Feel+Good+Drag-670113	94.000000	2.000000
track-Andrew+Gold+Thank+You+for+Being+a+Friend-139591	111.000000	2.000000
track-Andy+Andy+Voy+A+Tener+Que+Olvidarte-5615520	128.000000	2.000000
track-Animotion+Obsession-5636171	118.500000	2.000000
track-Annie+Lennox+Walking+On+Broken+Glass-4320656	56.000000	3.000000
track-Annie+Lennox+Why-4320657	45.500000	1.000000
track-Anthony+Cruz+Que+Bombon-7015853	94.000000	2.000000
track-Anthony+Hamilton+I'm+A+Mess-3299404	48.000000	1.000000
track-Anthony+Hamilton+Pass+Me+Over-3480130	78.000000	1.000000
track-April+Wine+Just+Between+You+And+Me-2757318	84.000000	2.000000
track-Arctic+Monkeys+Cornerstone-5637421	85.000000	2.000000
track-Arctic+Monkeys+Crying+Lightning-5637416	108.000000	2.000000
track-Aretha+Franklin+Willing+To+Forgive-5293706	77.000000	1.000000
track-Aretha+Franklin+You're+All+I+Need+To+Get+By-686240	84.000000	1.000000
track-Ashanti+Baby-85412	79.000000	1.000000
track-Ashanti+Rain+On+Me-3747963	84.000000	2.000000
track-Ashley+Parker+Angel+Let+U+Go-720251	171.500000	3.000000
track-Augustana+Sweet+and+Low-3544005	85.000000	1.000000
track-Avalon+Adonai-4124450	65.500000	1.000000
track-Avant+4+Minutes-721136	60.000000	1.000000
track-Aventura+Dile+Al+Amor-5072425	124.000000	3.000000
track-Average+White+Band+Cut+The+Cake-4698768	109.000000	2.000000
track-Avril+Lavigne+Don't+Tell+Me-3363667	72.000000	1.000000
track-Avril+Lavigne+I'm+With+You-3432795	51.000000	1.000000
track-Avril+Lavigne+Keep+Holding+On-4316276	54.000000	1.000000
track-Avril+Lavigne+When+You're+Gone-3531299	73.500000	1.000000
track-Az+Yet+Last+Night-3314458	82.000000	1.000000
track-B*Witched+Rollercoaster-3269202	106.500000	2.000000
track-B.J.+Thomas+Hooked+on+a+Feeling-14634350	132.000000	2.000000
track-B.J.+Thomas+Raindrops+Keep+Falling+on+my+Head-11430821	113.000000	2.000000
track-Baby+Bash+Na+Na-3543378	109.000000	2.000000
track-Babyface+I+Love+You+Babe-3216155	115.500000	2.000000
track-Bachman-Turner+Overdrive+Roll+On+Down+The+Highway-2356519	139.500000	3.000000
track-Backstreet+Boys+All+I+Have+To+Give-3387652	94.000000	1.000000
track-Backstreet+Boys+I'll+Never+Break+Your+Heart-15952618	54.000000	1.000000
track-Backstreet+Boys+More+Than+That-15952624	80.000000	1.000000
track-Bad+Company+Feel+Like+Making+Love-10118334	91.000000	2.000000
track-Bad+Company+Honey+Child-5567489	66.000000	2.000000
track-Bad+English+When+I+See+You+Smile-4732824	68.000000	1.000000
track-Bananarama+Cruel+Summer-125965	108.000000	2.000000
track-Barbra+Streisand+Comin'+In+And+Out+Of+Your+Life-4452630	70.000000	1.000000
track-Barry+Manilow+Can't+Smile+Without+You-10894322	98.000000	1.000000
track-Barry+Manilow+Mandy-10894286	50.000000	1.000000
track-Barry+Manilow+Somewhere+In+The+Night-3335035	80.000000	1.000000
track-Barthezz+On+the+Move-215429	144.000000	3.000000
track-Basia+Time+And+Tide-4349677	48.000000	1.000000
track-Bay+City+Rollers+Rock+And+Roll+Love+Letter-3105422	136.000000	2.000000
track-Bay+City+Rollers+The+Way+I+Feel+Tonight-3105423	65.000000	1.000000
track-Beach+House+Norway-7741099	119.000000	1.000000
track-Beastie+Boys+Fight+For+Your+Right-3505113	134.000000	2.000000
track-Beastie+Boys+Intergalactic-212159	106.000000	2.000000
track-Beastie+Boys+Sabotage-212178	83.000000	2.000000
track-Beatallica+Hero+of+the+Day+Tripper-6555200	137.000000	3.000000
track-Beatallica+Wonderful+Christmastime-7279760	185.000000	3.000000
track-Beats+International+Dub+Be+Good+To+Me-600545	96.000000	2.000000
track-Beck+Loser-164705	88.000000	2.000000
track-Becky+Baeling+Getaway-276621	127.500000	2.000000
track-Becky+Baeling+Heaven+Is+A+Place+On+Earth-276627	134.000000	3.000000
track-Beenie+Man+Row+Like+A+Boat-475716	108.000000	2.000000
track-Berlin+Masquerade-2188222	154.000000	2.000000
track-Berlin+Metro-2188213	169.000000	3.000000
track-Big+Audio+Dynamite+Hollywood+Boulevard-3159232	115.000000	2.000000
track-Big+Audio+Dynamite+Just+Play+Music-4959114	114.000000	3.000000
track-Big+Audio+Dynamite+Looking+For+A+Song-4959116	138.000000	2.000000
track-Big+Audio+Dynamite+Rush-4959104	124.000000	2.000000
track-Big+Audio+Dynamite+The+Bottom+Line-8835137	117.000000	2.000000
track-Bill+Doggett+Honky+Tonk-7274831	118.000000	2.000000
track-Billie+Holiday+I'm+Gonna+Lock+My+Heart-1248986	83.000000	2.000000
track-Billie+Holiday+If+You+Were+Mine-2302986	104.000000	2.000000
track-Billie+Ray+Martin+Imitation+Of+Life-89804	131.000000	2.000000
track-Billie+Ray+Martin+Your+Loving+Arms-89811	129.000000	3.000000
track-Billy+Gilman+One+Voice-3151491	75.000000	1.000000
track-Billy+Idol+Baby+Talk-564052	167.500000	3.000000
track-Billy+Idol+Catch+My+Fall-2899050	132.000000	3.000000
track-Billy+Idol+Cherie-3060182	180.000000	3.000000
track-Billy+Idol+Flesh+For+Fantasy-2899047	94.000000	2.000000
track-Billy+Idol+Rebel+Yell-2899043	167.000000	3.000000
track-Billy+Idol+To+Be+A+Lover-2899052	184.000000	3.000000
track-Billy+Joel+A+Matter+Of+Trust-3168002	110.000000	2.000000
track-Billy+Joel+Honesty-4298269	67.000000	1.000000
track-Billy+Joel+Keeping+The+Faith-3531842	90.000000	2.000000
track-Billy+Joel+MODERN+WOMAN-6361654	143.000000	3.000000
track-Billy+Joel+Piano+Man-3166666	59.000000	1.000000
track-Billy+Joel+Rosalinda's+Eyes-3531813	81.000000	1.000000
track-Billy+Joel+She's+Got+A+Way-3166682	39.000000	1.000000
track-Billy+Joel+We+Didn't+Start+The+Fire-4298243	145.000000	2.000000
track-Billy+Preston+Space+Race-5542921	107.500000	2.000000
track-Billy+Vaughn+Auld+Lang+Syne-3613117	69.000000	1.000000
track-Bing+Crosby+I'll+Be+Seeing+You-8960333	75.000000	1.000000
track-Bing+Crosby+You+Must+Have+Been+A+Beautiful+Baby-15154780	130.000000	2.000000
track-Bitty+McLean+Baby+Tonight-2402010	78.000000	2.000000
track-Black+Eyed+Peas+Let's+Get+It+Started-3907	105.500000	2.000000
track-Black+Tide+Shockwave-2186323	185.000000	3.000000
track-Blackstreet+Deep-2471499	56.000000	1.000000
track-Blake+Lewis+Break+Anotha-3543797	88.000000	2.000000
track-Blank+&+Jones+Cream-13036093	140.000000	3.000000
track-Blessid+Union+of+Souls+All+Along-305082	76.000000	2.000000
track-Bloc+Party+I+Still+Remember-1987999	140.000000	3.000000
track-Blu+Cantrell+Till+I'm+Gone-3333447	56.000000	1.000000
track-Blues+Traveler+But+Anyway-977527	103.500000	3.000000
track-Blues+Traveler+Most+Precarious-166285	161.000000	2.000000
track-BoDeans+Closer+To+Free-1739395	98.000000	3.000000
track-Bob+Crosby+South+Rampart+Street+Parade-1978607	113.000000	3.000000
track-Bob+Dylan+All+I+Really+Want+To+Do-3195700	58.000000	1.000000
track-Bob+Dylan+I+Shall+Be+Released-10894070	71.000000	1.000000
track-Bob+Dylan+Ring+Them+Bells-8364074	76.000000	1.000000
track-Bobby+Brown+Roni-3812491	74.000000	1.000000
track-Bobby+Goldsboro+Honey-2169604	94.000000	1.000000
track-Bobby+Rydell+Ding-A-Ling-11116237	131.000000	2.000000
track-Bobby+Rydell+I've+Got+Bonnie-4187892	151.000000	2.000000
track-Bobby+Rydell+Swingin'+School-11116238	152.000000	3.000000
track-Bobby+Sherman+Cried+Like+A+Baby-7232696	155.500000	2.000000
track-Bomfunk+MC's+Uprocking+Beats-7473670	133.000000	2.000000
track-Bon+Jovi+Bed+Of+Roses-11173645	55.500000	1.000000
track-Bon+Jovi+I'll+Sleep+When+I'm+Dead-11173690	124.000000	2.000000
track-Bonnie+Tyler+Take+Me+Back-4442410	60.000000	2.000000
track-Booker+T.+&+The+MG's+Green+Onions-390228	137.000000	2.000000
track-Bounty+Killer+Fed+Up-1385105	93.000000	2.000000
track-Bounty+Killer+Look-1433718	45.000000	1.000000
track-Bounty+Killer+Worthless+Bwoy-1433734	91.000000	2.000000
track-Boys+Like+Girls+Dance+Hall+Drug-3543133	160.500000	2.000000
track-Boys+Like+Girls+Five+Minutes+To+Midnight-3109487	164.000000	3.000000
track-Boyz+II+Men+I+Can't+Make+You+Love+Me-7098533	62.000000	1.000000
track-Boyz+II+Men+On+Bended+Knee-5784744	59.000000	1.000000
track-Boyz+II+Men+Thank+You-202987	95.000000	2.000000
track-Boyzone+All+The+Time+In+The+World-166949	77.000000	1.000000
track-Boyzone+No+Matter+What-3604688	93.000000	1.000000
track-Boz+Scaggs+Lido+Shuffle-3484251	140.500000	2.000000
track-Boz+Scaggs+Miss+Sun-3484159	103.000000	2.000000
track-Brad+Paisley+American+Saturday+Night-5549683	158.000000	3.000000
track-Brad+Paisley+Letter+To+Me-11119266	79.000000	1.000000
track-Brad+Paisley+Online-11119248	133.000000	2.000000
track-Brad+Paisley+Too+Country-3302796	74.000000	1.000000
track-Brad+Paisley+Two+People+Fell+In+Love-3302794	80.500000	1.000000
track-Brandi+Carlile+Dreams-6639901	143.000000	3.000000
track-Brandon+Heath+Give+Me+Your+Eyes-5350208	87.500000	1.000000
track-Brandon+Heath+I'm+Not+Who+I+Was-5322002	94.000000	2.000000
track-Brandy+Long+Distance-3836430	73.000000	1.000000
track-Bread+Everything+I+Own-129667	83.000000	1.000000
track-Breathe+Hands+To+Heaven-6725740	64.000000	1.000000
track-Brenda+Lee+Losing+You-4244039	75.000000	1.000000
track-Brian+Wilson+What+I+Really+Want+For+Christmas-4326130	53.500000	1.000000
track-Britney+Spears+Lucky-5927201	95.000000	2.000000
track-Britney+Spears+Outrageous-3379877	105.000000	3.000000
track-Brotherhood+Of+Man+Save+Your+Kisses+for+Me-10389587	92.000000	2.000000
track-Brownstone+5+Miles+To+Empty-7600764	67.000000	1.000000
track-Bruce+Springsteen+Living+Proof-3166607	114.000000	2.000000
track-Bruce+Springsteen+Prove+It+All+Night-11234989	113.500000	2.000000
track-Bruce+Springsteen+Tenth+Avenue+Freeze-Out-3262911	116.000000	2.000000
track-Bruce+Springsteen+Thunder+Road-5295229	68.000000	1.000000
track-Bryan+Adams+I'm+Ready-217392	141.000000	2.000000
track-Bryan+Adams+Please+Forgive+Me-217385	67.000000	1.000000
track-Building+429+End+Of+Me-3720560	84.000000	1.000000
track-Buju+Banton+Boom+Bye+Bye-8694203	70.000000	1.000000
track-Buju+Banton+Love+Sponge-4572590	77.000000	2.000000
track-Buju+Banton+Rampage-3511808	96.000000	2.000000
track-Burl+Ives+Funny+Way+Of+Laughing-1245162	73.000000	2.000000
track-Butthole+Surfers+Pepper-303993	80.500000	1.000000
track-Buzzcocks+Ever+Fallen+In+Love+(With+Someone+You+Shouldn't've)?-4897	175.500000	3.000000
track-Cameo+Single+Life-4114891	110.000000	1.000000
track-Cameo+Sparkle-4114894	74.000000	1.000000
track-Camera+Obscura+Suspended+From+Class-8673992	132.000000	2.000000
track-Capleton+Everybody-8231796	103.000000	2.000000
track-Carl+Douglas+Kung+Fu+Fighting-5820014	101.000000	2.000000
track-Carlos+Vives+Tu+Amor+Eterno-3066621	93.000000	2.000000
track-Carly+Simon+Hold+Out+Your+Heart-2532304	52.000000	1.000000
track-Carly+Simon+The+Right+Thing+To+Do-2224710	88.000000	2.000000
track-Carman+Serve+The+Lord-3728013	71.500000	1.000000
track-Carole+King+I+Feel+The+Earth+Move-4755783	118.500000	2.000000
track-Carole+King+So+Far+Away-4755785	72.000000	1.000000
track-Carole+King+Up+on+the+Roof-10503810	90.500000	1.000000
track-Carolina+Liar+Show+Me+What+I'm+Looking+For-5230437	104.000000	2.000000
track-Carpenters+I+Need+To+Be+In+Love-169910	71.500000	1.000000
track-Carpenters+Ticket+To+Ride-509870	91.500000	1.000000
track-Carrie+Underwood+Just+A+Dream-7333358	71.000000	2.000000
track-Casting+Crowns+East+To+West-3110842	37.000000	1.000000
track-Cerrone+Love+Is+The+Answer-5426001	130.000000	3.000000
track-Chairmen+Of+The+Board+Men+Are+Getting+Scarce-5739516	90.000000	2.000000
track-Chairmen+Of+The+Board+Try+On+My+Love+For+Size-5739683	106.000000	2.000000
track-Chaka+Khan+I'm+Every+Woman-1736296	114.000000	2.000000
track-Chalie+Boy+I+Look+Good-6618164	90.000000	1.000000
track-Charlie+Cruz+Como+La+Primera+Vez-3132593	97.000000	2.000000
track-Charlie+Daniels+Still+In+Saigon-3155110	148.000000	2.000000
track-Charlie+Mars+Meet+Me+By+The+Backdoor-7721412	90.000000	2.000000
track-Charlie+Rich+All+Over+Me-3176577	83.000000	1.000000
track-Charlie+Rich+I+Love+My+Friend-3171363	78.000000	1.000000
track-Charlie+Wilson+Magic-5619838	77.000000	1.000000
track-Chayanne+Te+Echo+De+Menos-5619090	123.000000	3.000000
track-Cheap+Trick+She's+Tight-3159086	156.000000	2.000000
track-Cheap+Trick+Stop+This+Game-3133299	135.000000	2.000000
track-Cheap+Trick+Surrender-3275209	134.500000	2.000000
track-Cher+Just+Like+Jesse+James-164628	65.000000	1.000000
track-Cherish+Amnesia-2424561	60.000000	2.000000
track-Chevelle+Well+Enough+Alone-5466626	123.000000	2.000000
track-Chic+Everybody+Dance-1358509	66.500000	2.000000
track-Chic+My+Forbidden+Lover-1358518	112.000000	2.000000
track-Chicago+If+You+Leave+Me+Now-1737948	52.000000	1.000000
track-Chris+Brown+Wall+to+Wall-3124277	191.500000	2.000000
track-Chris+Cagle+No+Love+Songs-7954287	87.000000	2.000000
track-Chris+Cagle+What+Kinda+Gone-7954274	86.000000	2.000000
track-Chris+Sligh+Arise-2505086	73.000000	2.000000
track-Chris+Sligh+Empty+Me-2505096	69.500000	1.000000
track-Chris+Taylor+Take+Me+Anywhere-2375235	119.000000	2.000000
track-Chris+Young+Voices-6166717	77.000000	1.000000
track-Christina+Aguilera+Candyman-3721171	86.500000	2.000000
track-Christina+Aguilera+Fighter-4455043	95.000000	2.000000
track-Christina+Aguilera+The+Voice+Within-4455048	70.000000	1.000000
track-Christina+Milian+AM+To+PM-291235	105.000000	3.000000
track-Chuck+Berry+Little+Queenie-8204940	152.000000	2.000000
track-Chuck+Berry+Sweet+Little+Rock+and+Roller-8204936	166.000000	3.000000
track-Chuck+Mangione+Chase+The+Clouds+Away-574943	73.000000	1.000000
track-Chuck+Mangione+Hill+Where+The+Lord+Hides-574956	100.000000	2.000000
track-Chuck+Wicks+Stealing+Cinderella-4887196	70.000000	1.000000
track-Chuck+Willis+C.C.+Rider-10766976	92.000000	1.000000
track-Cirrus+Back+On+a+Mission-9931241	105.000000	2.000000
track-City+High+What+Would+You+Do-163919	96.000000	2.000000
track-Clarence+"Frogman"+Henry+Ain't+Got+No+Home-4743776	84.000000	3.000000
track-Clay+Crosse+I+Surrender+All-6425639	68.000000	1.000000
track-Cleopatra+Cleopatra's+Theme-350836	104.000000	2.000000
track-Coheed+and+Cambria+The+Suffering-3475464	157.000000	3.000000
track-Coldplay+Lovers+In+Japan-2702813	110.000000	2.000000
track-Coldplay+Violet+Hill-2545769	76.500000	1.000000
track-Collective+Soul+Breathe-6323521	87.000000	2.000000
track-Collie+Buddz+Blind+To+You-3534796	78.000000	1.000000
track-Collin+Raye+What+If+Jesus+Comes+Back+Like+That-3153471	74.000000	1.000000
track-Color+Me+Badd+Remember+When-3164894	106.500000	1.000000
track-Commodores+Sail+On-986212	70.500000	1.000000
track-Commodores+Three+Times+A+Lady-23389	74.000000	1.000000
track-Con+Funk+Shun+Confunkshunizeya-394384	104.000000	2.000000
track-Connie+Francis+Everybody's+Somebody's+Fool-14847436	84.000000	2.000000
track-Connie+Francis+Lipstick+On+Your+Collar-9028722	83.000000	3.000000
track-Connie+Francis+Vacation-171263	145.000000	2.000000
track-Coolio+Gangsta's+Paradise-390269	80.000000	1.000000
track-Craig+David+Personal-178090	58.500000	1.000000
track-Crazy+Town+Drowning-3211475	95.500000	2.000000
track-Cream+Politician-2471114	73.500000	1.000000
track-Creedence+Clearwater+Revival+Sweet+Hitch-Hiker-2706530	190.500000	3.000000
track-Crossfade+Cold-3275377	74.000000	2.000000
track-Crystal+Gayle+Cry-1447613	69.000000	1.000000
track-Crystal+Gayle+Talking+In+Your+Sleep-1441415	67.000000	1.000000
track-Crystal+Gayle+Your+Old+Cold+Shoulder-1441444	98.000000	2.000000
track-Curtis+Lee+Pretty+Little+Angel+Eyes-14094317	108.000000	3.000000
track-Curtis+Stigers+Never+Saw+A+Miracle-4327374	69.000000	1.000000
track-Cut+'n'+Move+I'm+Alive-1625811	134.000000	3.000000
track-Cutty+Ranks+Limb+By+Limb-9258795	98.500000	2.000000
track-Cyndi+Lauper+Come+On+Home-3227729	105.000000	2.000000
track-Cypress+Hill+How+I+Could+Just+Kill+A+Man-8707400	102.000000	3.000000
track-Cypress+Hill+Insane+In+The+Brain-8707439	105.000000	2.000000
track-D'Angelo+Lady-305603	85.000000	1.000000
track-D'Angelo+Send+It+On-2898269	43.000000	1.000000
track-DJ+Laz+Get+Your+Ass+Off+The+Stage-2547465	163.000000	3.000000
track-DMX+Where+The+Hood+At-7804380	94.000000	1.000000
track-Daddy+Yankee+Grito+Mundial-8763405	121.000000	3.000000
track-Daddy+Yankee+Impacto-1103942	101.000000	2.000000
track-Daddy+Yankee+Llamado+De+Emergencia-4144521	98.000000	2.000000
track-Daddy+Yankee+Pose-4144518	117.000000	2.000000
track-Daddy+Yankee+Que+Tengo+Que+Hacer-4144550	108.000000	3.000000
track-Damn+Yankees+High+Enough-373203	83.000000	1.000000
track-Dan+Fogelberg+Hard+To+Say-4394962	89.500000	1.000000
track-Dana+Glover+Thinking+Over-2232914	56.000000	1.000000
track-Dance+Nation+Sunshine-8563127	113.500000	3.000000
track-Darius+Rucker+Alright-6795400	91.000000	2.000000
track-Darius+Rucker+Don't+Think+I+Don't+Think+About+It-6795381	75.000000	1.000000
track-Daughtry+What+About+Now-3529233	81.000000	2.000000
track-Dave+Edmunds+I+Knew+The+Bride-2373119	180.000000	3.000000
track-Dave+Edmunds+Information-4736954	173.500000	3.000000
track-Dave+Edmunds+Something+About+You-3341733	135.000000	2.000000
track-Dave+Hollister+My+Favorite+Girl-6742944	60.000000	2.000000
track-Dave+Hollister+Take+Care+Of+Home-161843	73.000000	1.000000
track-David+Archuleta+Crush-3721606	81.000000	1.000000
track-David+Banner+Play-264225	95.000000	2.000000
track-David+Cook+Bar-ba-sol-3732728	88.000000	3.000000
track-David+Gray+Stella+The+Artist-6406005	135.000000	2.000000
track-Daze+Superhero-3988465	136.000000	3.000000
track-Dean+Martin+Memories+Are+Made+Of+This-13851876	69.000000	2.000000
track-Deana+Carter+Strawberry+Wine-281623	41.000000	1.000000
track-Debbie+Gibson+Foolish+Beat-129570	40.000000	1.000000
track-Debby+Boone+You+Light+Up+My+Life-2633303	76.000000	1.000000
track-Deborah+Cox+It's+Over+Now-3326405	60.500000	1.000000
track-Deep+Blue+Something+Halo-4760061	126.000000	3.000000
track-Deep+Purple+Perfect+Strangers-13699674	98.000000	2.000000
track-Deep+Purple+Space+Trucking-2233308	130.000000	2.000000
track-Delta+Goodrem+In+This+Life-4240671	84.000000	2.000000
track-Delta+Spirit+Trashcan-3999662	82.000000	2.000000
track-Deniece+Williams+Black+Butterfly-3206185	65.000000	1.000000
track-Deniece+Williams+I+Found+Love-3186970	102.000000	2.000000
track-Des'ree+Feel+So+High-3213251	83.500000	1.000000
track-Destiny's+Child+Bug+A+Boo-4314361	125.000000	3.000000
track-Destiny's+Child+Survivor-4314349	81.000000	2.000000
track-Devo+Whip+It-240189	158.000000	3.000000
track-Dexys+Midnight+Runners+Come+On+Eileen-6551429	107.000000	2.000000
track-Diana+King+Ain't+Nobody-4454442	98.000000	2.000000
track-Diana+King+Shy+Guy-3153566	94.000000	2.000000
track-Dierks+Bentley+Trying+To+Stop+Your+Leaving-2488794	56.500000	1.000000
track-Digable+Planets+Nickel+Bags-302730	94.000000	1.000000
track-Dionne+Warwick+Deja+Vu-9311488	75.000000	1.000000
track-Dionne+Warwick+Reach+Out+for+Me-7549752	111.000000	2.000000
track-Dire+Straits+Walk+Of+Life-24205	86.000000	2.000000
track-Dirty+Vegas+Days+Go+By-1108465	122.500000	2.000000
track-Dishwalla+Counting+Blue+Cars-4721585	97.000000	2.000000
track-Dishwalla+Once+In+A+While-5302454	82.500000	2.000000
track-Divinyls+I+Touch+Myself-238654	107.000000	2.000000
track-Dixie+Chicks+Cowboy+Take+Me+Away-9512435	82.000000	1.000000
track-Dixie+Chicks+Ready+To+Run-13080436	99.000000	2.000000
track-Dolly+Parton+Don't+Call+It+Love-3110729	108.000000	2.000000
track-Dolly+Parton+Heartbreak+Express-3110728	166.000000	2.000000
track-Dolly+Parton+Shinola-2855354	134.000000	2.000000
track-Dolly+Parton+Starting+Over+Again-11984675	69.000000	1.000000
track-Don+Henley+New+York+Minute-5440848	67.000000	1.000000
track-Don+Henley+Not+Enough+Love+In+The+World-4821405	83.000000	2.000000
track-Don+McLean+Babylon-253473	110.000000	1.000000
track-Don+McLean+Since+I+Don't+Have+You-253484	68.000000	1.000000
track-Don+Omar+Reggaeton+Latino-174099	93.000000	2.000000
track-Don+Omar+Virtual+Diva-4428033	114.000000	2.000000
track-Don+Williams+If+Hollywood+Don't+Need+You-337518	73.000000	1.000000
track-Don+Williams+It+Must+Be+Love-8212368	109.000000	2.000000
track-Don+Williams+Say+It+Again-337517	80.000000	1.000000
track-Donato+Poveda+Bohemio+Enamorado-4988784	90.000000	1.000000
track-Donell+Jones+Ooh+Na+Na-3512764	71.000000	1.000000
track-Donell+Jones+Put+Me+Down-4479885	102.000000	3.000000
track-Donell+Jones+Where+I+Wanna+Be-3314802	51.000000	1.000000
track-Donna+Summer+I+Feel+Love-247951	111.500000	3.000000
track-Donny+Osmond+Are+You+Lonesome+Tonight-7174729	79.000000	1.000000
track-Dr.+Buzzard's+Original+Savannah+Band+I'll+Play+The+Fool-4238607	105.000000	2.000000
track-Duran+Duran+I+Don't+Want+Your+Love-12475	109.000000	2.000000
track-Duran+Duran+Perfect+Day-303696	48.000000	1.000000
