ID	ARTIST	SONG TITLE	MIX	LABEL	BP GENRE	BP BPM	BP KEY
66070	Scooter	Hello! (Good To Be Back)	Club Mix	Sheffield Tunes	Trance	144	D major
68370	Blake	What feat. Liza	Original Mix	Ocean Dark	Electro House	126	D major
69040	Maertini Broes	W.T.U.S.	Original Mix	Poker Flat Recordings	Electro House	116	C# major
74680	Jimmy Van M, Brancaccio & Aisher	Sanctuary	Brancaccio & Aisher Remix	Bedrock Records	Progressive House	130	A major
76914	Alex Gold	Energy Bomb feat. Kelly Morris	Original Mix	Xtravaganza	Breaks	110	G major
77806	Swirl People, Jonene, Touchdown	Fears	Jonene & Touchdown Mix	Tronicsole	Deep House	126	F major
80643	Delon & Dalcan	Panik	Original Mix	Boxer Recordings	Tech House	129	D major
84098	Benny Blanko	Put Your Hands feat. Pedro Polanski	Original Mix	Playhouse	Deep House	118	D# major
84522	Dwight Trible, The Life Force Trio	Antiquity feat. J Dilla	Original Mix	Ninja Tune	Hip-Hop	97	C major
90839	Alternate Vision	Out Of The Loop	Original Mix	Spun Records	Trance	144	D major
95799	Deepgroove	Fascinated	Vocal Dub	UMM (UK) Underground Music Movement	House	129	B major
99805	Silencer	Drown In Me feat. Berwitz	Silencer Beats Mix	Critical Mass Recordings	Breaks	132	B major
99806	Silencer, Force Mass Motion	Drown In Me feat. Berwitz	Force Mass Motions Stadium JKT Mix	Critical Mass Recordings	Progressive House	129	G# major
100066	Lindstrom	Monsteer	Original Mix	Dialect Recordings	Electronica	115	D major
103857	Hatstandy Andy, Dysfunktional	Emerge And See	Dysfunktional Mix	Xeton Records	Breaks	109	E major
108844	Jason Sparks, Si Begg	Gangsters	Si Begg Remix	Botchit & Scarper	Breaks	135	D major
110504	Musica Charlista	Juan Y Alex	Original Mix	Apnea	Minimal	129	A# major
119077	Doctor Rockit	Cafe De Flore	Original Mix	Accidental	Chill Out	104	E major
119467	TTC	Catalogue	Instrumental	Big Dada	Hip-Hop	92	D# major
125918	Leafcutter John	In the Morning	Original Mix	Staubgold	Electronica	120	D major
131427	K. Wild, DJ Funsko	Can't Stop Me Now	DJ Funsko's Tribal House Dub Remix	Total Wipes	House	120	D major
132143	Snake Sedrick, Emze Hack, Eelke Kleijn	The Beginning	Eelke Kleijn Ambient Mix	Tilth Music	Chill Out	128	C# major
134948	Xerox, Illumination	Paranoia	Original Mix	Crystal Matrix	Psy-Trance	142	C major
135302	Smoke Chamberlain	Nikki	Original Mix	Profit Records	Hip-Hop	92	F major
138819	Amon Tobin	Escape	Original Mix	Ninja Tune	Drum & Bass	165	B major
139755	Funki Porcini	Back Home	Original Mix	Ninja Tune	Chill Out	137	D major
144851	JDS	Blackout	Original Mix	TCR (Thursday Club Recordings)	Breaks	134	B major
150864	Kluster	Lava	Original Mix	Digital Psionics	Psy-Trance	135	F major
155879	Headman	Moisture	Headman Club Mix	Gomma	Electronica	122	D major
159301	Freq	Beatstreet	Original Mix	Iboga Records	Psy-Trance	135	B major
167955	Hawke (aka Gavin Hardkiss)	Fly Fly Fly Away	Original Mix	Eighth Dimension Records	Chill Out	100	E major
168304	Sam Rouanet	Tsuno	Original Mix	S'hort Records	Tech House	128	F major
168450	Mumbo Jumbo	Mirage	Original Mix	Turbo Trance	Psy-Trance	144	F# minor
174074	Boards Of Canada	Satellite Anthem Icarus	Original Mix	Warp Records	Chill Out	104	C# major
175197	Wild Planet	15 Love	Original Mix	Warp Records	Techno	129	E major
178137	Phantom Ghost	Born With A Nervous Breakdown	Rework breakdown mix	Ladomat 2000	Tech House	127	A major
178770	Martin Brodin, Klement Bonelli	From Malmoe To Bremen	Original Mix	Deeplay Soultec	Tech House	128	G major
180779	DJ Trajic	Underground	Original Mix	Nemek Music	Hard Dance	134	A# major
180831	Mapstation, Ras Donovan	Uncentral	Original Mix	Staubgold	Electronica	74	B major
181659	Laurent Garnier	Flashback	Video Mix	F Communications	Techno	133	C# major
188000	Bent Sentient	Suffocation Dividend	Original Mix	Nano Records	Psy-Trance	144	A major
188616	Shane Philips	The Right Time	Original Mix	Mile End Records	Chill Out	107	A# major
189045	The Havana Boys, Fellmann & Louise	You're My Honey	Fellmann & Louise Remix	MuschiTunes	Electronica	128	D major
189424	Qwel	Ruby Ragdollenne	Live	Galapagos4	Hip-Hop	157	D major
190162	The Amalgamation Of Soundz	Latmo	Original Mix	Airtight	Deep House	124	D major
190288	Central Avenue	For Only You feat. Ov	Hard Mix Vocal Latin Mix	Delecto Recordings	House	125	C# major
193072	Echotek, La Baaz	Away	La Baaz Remix	Flow Records	Psy-Trance	132	C major
196477	Two Lone Swordsmen	Spin Desire	Original Mix	Rotters Golf Club	Techno	124	C# major
197434	Monoder	Song	Original Mix	Pakkas Levyt	Minimal	131	D major
200573	M.I.K.E., Valentino Kanzyani	Salvation	Valentino Kanzyani JLY Remix	Club Elite (Armada)	Trance	134	C# major
200766	Zwo!	Oxigen	Original Mix	Dpress Industries	Tech House	131	F major
203541	Drumsound & Bassline Smith	Dub Track	Original Mix	Technique Recordings	Drum & Bass	86	B major
206180	Rouge Rouge	Oui	Original Mix	Pschent Music	Electronica	157	D major
206648	Trick & Kubic, Constantine	Easy	Constantines Sunday Morning Deep Out Remix	Pool E Music	House	124	A major
209357	DJ Zinc	Toothbrush	Remix	True Playaz	Drum & Bass	87	D major
209475	Burn In Noise	New Computer	Original Mix	Kagdila Records	Psy-Trance	145	D major
217855	DJ Dijital	Jit Wit It	Original Mix	Twilight 76	Electronica	140	D major
218890	Cyne	Growing	Instrumental	City Centre Offices	Hip-Hop	98	D major
218955	Lali Puna	Everywhere And Allover	Original Mix	Morr Music	Electronica	128	D major
219078	Donato Wharton	Collision Stills	Original Mix	City Centre Offices	Electronica	110	D major
221206	Ndru	Klang Sayang	Original Mix	Perspectiv Records	Minimal	120	D major
224078	Kimar	Keep The Groove	Original Mix	Open Bar Music	House	127	A# major
224256	Fractal Glider	Tabla Trek	Original Mix	Boom! Records	Psy-Trance	145	G# major
225388	Morgan Caney, Kamal Joory	3000 Miles	Original Mix	City Centre Offices	Electronica	93	D major
226990	Temperance, Mystah Munroe, The Polarbabies	My Sentiments Exactly	Polarbabies Mix	Hi-Bias Records	House	130	D major
239698	CCK, Commercial Club Crew	Close To Me	Commercial Club Crew Remix	Andorfine Records	Hard Dance	140	D major
239972	Phunk Foundation	Let It Go	Club Radio Edit	Andorfine Records	Hard Dance	128	A# major
245736	Dark Machines	Dark Machines	Original Mix	Elektrotribe Records	Drum & Bass	169	D major
246613	Dieter Krause, Deepak Sharma	Blow	Original Mix	Hidden Recordings	Tech House	120	E major
251655	Silver	Angry & Bitter	Original Mix	Avalanche Recordings	Drum & Bass	86	D major
255261	Rektchordz, Pete Voyager	Street Slut	Pete Voyager Remix	Bombtraxx Records	Breaks	134	B major
255895	GusGus	Moss feat. Daniel Agust	Original Mix	Pineapple Records	Electro House	130	F# major
257025	Ed Royal	Gravity	Organic Funk Remix	Innvision Records	Breaks	128	E major
269382	Vision & Canedy	Aeroplane	Original Mix	Hadshot Haheizar	Progressive House	133	F# major
273439	Sound Field	Psychedelic Revival	Original Mix	Oxygen Records (Ingrooves)	Psy-Trance	135	F major
273553	740 Boyz	Party Over Here	Boyz Party Bonus	Cutting Records	House	131	G# major
277229	Orlando Vaughan	Better Than Never	Original Mix	Duffnote Recordings	House	125	C# major
277874	Jason Nawty	Ripped	Original Mix	12 Inch Thumpers	Hard Dance	146	A major
282105	DJ Jaromir	Cosmic Collision	Original Mix	Royal Tek Records	Trance	140	D major
283467	Funky Junction, Antony Reale, Erasmo	I Believe In Love feat. Carl McDonald	Instrumental Mix	Sheeva Records	House	127	D major
287952	SL2	On A Ragga Tip â€˜97	Original Mix	XL Recordings	Breaks	140	A major
289631	Italian Rockaz, Avoya, Lil M	Il Mio Amore	Original Club Mix	Balloon Records	Hard Dance	144	G major
290580	Plastikfunk	Let Me See Your Hands	Original Mix	Embassy One	Electro House	128	A# major
291094	Carlos Mendes, Willy De Loren, Jacoby, Carlos Mendes	Malibu	Quiet Running Mix	Disko Massaka	Tech House	127	D major
292281	Alias	Divine Disappointment	Original Mix	Anticon	Hip-Hop	181	C# major
292564	Sole	Atheist Jihad	Original Mix	Anticon	Hip-Hop	122	D major
292730	Locomotive	Way Out Here	Original Mix	Ruff Recordings	Breaks	125	D major
293203	Bloquera	Fiesta	Instrumental Mix	Tres Records	Hip-Hop	104	D major
297002	System Nipel, Visual Contact, Cosmic Tone	Lift Me Up	Cosmic Tone Remix	Com.Pact Records	Psy-Trance		F major
297010	The Sidewinder	Skit 1	Original Mix	Soma Records	Chill Out		D# major
297011	Light Sleepers	Rain Dance	Original Mix	Soma Records	Chill Out		F major
297012	The Sidewinder	Stanway's Revenge	Jimpster Mix	Soma Records	Chill Out		F# major
297013	Daniel Ibbotson	Stumble	John Tejada Mix	Soma Records	Chill Out		F major
297025	Percy X	Club X	Original Mix	Soma Records	Techno		D major
297030	Percy X	Vox Digital	Original Mix	Soma Records	Techno		E major
297057	Slam	Virtuoso	Funk D'voids Boutaka Mix	Soma Records	Techno		A major
297059	Slam	Alien Radio	Tony Thomas Mix	Soma Records	Techno		F major
297065	Slam	Alien Radio	Darren Emerson Mix	Soma Records	Techno		F major
297067	Slam	Positive Education	Carl Cox In Tec Mix	Soma Records	Tech House		G major
297071	Alex Dias	Reflex	Original Mix	The B Side Records	Tech House		E major
297113	Jonas Bering	Take My Hand	Original Mix	Kupei Musika	Deep House		F major
297114	Kate Simko	Cityscape	Original Mix	Kupei Musika	Deep House		F major
297115	Jonas Bering, Kate Simko	Take My Hand	Kate Simko Remix	Kupei Musika	Deep House		F major
297116	Kate Simko, Jonas Bering	Cityscape	Jonas Bering Remix	Kupei Musika	Deep House		F major
297125	Christian Zimmerman	The Diary Of A Lost Girl	World Of Apples Mojave Rehab Mix	Soma Records	Chill Out		G major
297129	Yoshinori Sunahara	Love Beat	World Of Apples Mix	Soma Records	Chill Out		D major
297131	Maas	Look At Me Now, Falling	Zoyd and Prairie Mix	Soma Records	Chill Out		B major
297150	Alert	Casual Tease	Original Mix	Oblivion Fringe	Minimal		A# major
297161	Liquid Soul, Atmos	The Source	Atmos Remix	Iboga Records	Trance		G major
297162	Liquid Soul	Freeway	Original Mix	Iboga Records	Trance		A major
297188	Holmes Ives, Jette Kelly	Wicked Game feat. Jette Kelly, Holmes Ives, Matt Lewis	Original Mix	OVA	Chill Out		E major
297191	Holmes Ives, Jette Kelly	Ultimately, Darling feat. Jette Kelly, Holmes Ives	Original Mix	OVA	Chill Out		D# major
297193	Holmes Ives, Jette Kelly	A Priori feat. Jette Kelly, Holmes Ives, Matt Lewis	Original Mix	OVA	Chill Out		A major
297204	Vibe Tribe	Kick The Bass	Original Mix	Noga Records	Trance		A major
297206	Analog Pussy, Indra, Gataka	Sound Of Soul	Gataka Vs. Indra Remix	Noga Records	Trance		F major
297218	Santerna	Flexibility	Original Mix	Bonzai Back Catalog	Trance		F# major
297252	Justin Bond	Funnyman	Original Mix	Plush	Electro House		E major
297253	Justin Bond	Atweel	Original Mix	Plush	Electro House		A major
297261	Anime Toonz, John Creamer & Stephane K	Every Heart  (Minna No Kimochi) feat. Kristina Sa	Gomi Vocal Club Mix	Fuego Recordings	Progressive House		D major
297264	Anime Toonz, DJ Gomi	Every Heart  (Minna No Kimochi) feat. Kristina Sa	Gomi Vocal Dub Mix	Fuego Recordings	Progressive House		D major
297266	Quantum	Forplay	Original Mix	Planet B.E.N. Records	Psy-Trance		F major
297268	Quantum	Power Chip	Original Mix	Planet B.E.N. Records	Psy-Trance		G major
297269	Quantum, Keren Porat	Janata Express	Original Mix	Planet B.E.N. Records	Psy-Trance		F major
297271	Quantum, Kaviguitars	Slicer	Original Mix	Planet B.E.N. Records	Psy-Trance		A major
297272	Firewall, Quantum	2 Get U	Original Mix	Planet B.E.N. Records	Psy-Trance		B major
297273	Quantum	Schoss	Original Mix	Planet B.E.N. Records	Psy-Trance		G major
297278	Someone Else	Pooty Call	Original Mix	Foundsound Records	Minimal		C major
297280	Someone Else	Curly Mouth	Original Mix	Foundsound Records	Minimal		A major
297281	Someone Else	Funky Fromage	Original Mix	Foundsound Records	Minimal		A major
297286	Someone Else	Family Unties	Original Mix	Foundsound Records	Minimal		D major
297287	Someone Else	Oh Sean	Original Mix	Foundsound Records	Minimal		F major
297319	Blu Cianfano	Cianfy's Bossa	Latin Concepts Dub Mix	Sheeva Records	House		A major
297320	Blu Cianfano	Cianfy's Bossa	Main latin Concept	Sheeva Records	House		D major
297330	Robbie Rivera	The Shout	Original Mix	24seven	House		A major
297332	Robbie Rivera, Marco V	The Shout	Marco V Reconstruction Mix	24seven	House		A major
297334	Matthew Dear	Deserter	Original Mix	Ghostly International	Electronica		F# major
297335	Matthew Dear, Four Tet	Deserter	Four Tet Remix	Ghostly International	Electronica		F# major
297336	Matthew Dear, Four Tet	Deserter	Four Tet Remix Instrumental	Ghostly International	Electronica		F# major
297346	Savannah Joe	This Is X	Savannah's Club Mix	Fuego Recordings	Hard Dance		D major
297347	Savannah Joe	This Is X	Savannah's NYC Mix	Fuego Recordings	Hard Dance		D major
297349	Plasmic Honey, Sal Basile, Christian Gambella	The Funeral	Dub Mix	Fuego Recordings	Hard Dance		E major
297355	Jay Epoch	Mulholland	Continuous DJ Mix	Proton Music	Progressive House		E major
297356	Brutal Bill, Brutal Bill Marquez	It's Party Time	Brutal Bill's Hard Synth Mix	Fuego Recordings	Trance		F major
297360	Alex Baskin, Leo Baskin, DJ Mutt, Artie Cabrera	 (I Want You To) Move	Uplifting Mix	Fuego Recordings	Trance		F major
297378	Kino Oko, La Baaz	The Day To Die	La Baaz Remix	Cold Groove Records	Progressive House		D major
297379	FM Radio Gods, FM Radio Gods	The Day To Die	FM Radio Gods Remix	Cold Groove Records	Electro House		A# major
297409	Kato	Gone Is Love	Original Mix	Clubland Records	Chill Out		G major
297410	Paul Harlyn	Room 3	Original Mix	Clubland Records	Chill Out		D major
297411	Up On The Hill	I Don't Need	Original Mix	Clubland Records	Chill Out		B major
297413	Oliver Backens, Stefan Gruenwald, Ingo Herrmann	Alive	Ingo Herrmann Chillout Mix	Clubland Records	Chill Out		D# major
297415	Richter, Niestolik	Es Ibiza	Original Mix	Clubland Records	Chill Out		C major
297417	Electric Moonlight	Celebrating Love	Original Mix	Clubland Records	Chill Out		G major
297418	Carpatica	Summerday	Original Mix	Clubland Records	Chill Out		C major
297422	Extranova	Dark Clouds Over Paradise	Original Mix	Clubland Records	Chill Out		F major
297424	Magma	Iridium Flares	Original Mix	Clubland Records	Chill Out		C major
297473	Gorge, Greg Silver	Fuck It	Club Mix	Alphabet City	Electro House		B major
297474	Sven Van Hees	Across The Delta	Original Mix	Your Lips	Electronica		B major
297485	Manolo Mendez, Mennow	Rock	Original Mix	Big Boss Records	Electro House		C major
297488	Jeremy	Soul Kicks	Original Mix	Tronic Soundz	Deep House		F major
297491	G.Pal	Where Do We Go Now	Original Mix	Tronic Soundz	House		F major
297494	Future Funk	Switch Lock	Original Mix	Tronic Soundz	Tech House		E major
297501	Jeff Bennett	Hovering	Original Mix	Tronic Soundz	Tech House		F major
297506	Forteba	Iâ€™ll Never Die	Original Mix	Tronic Soundz	Tech House		A major
297513	DJ Glenn B	How Bizarre	Main Mix	Big Boss Records	House		C major
297517	Touane	Morso	Original Mix	Persona	Minimal		A# major
297521	Digital Minds	Be Yourself	Original Mix	Tango Recordings	House		F major
297534	Goldfish Und Der Dulz	Closer	Original Mix	Boxer Recordings	Techno		D# major
297535	Goldfish Und Der Dulz, Daso	Closer	Daso Mix	Boxer Recordings	Techno		D# major
297536	Dandi & Ugo	Kutoffen	Original Mix	Stereo Seven Plus	Techno		C major
297538	Lex M	G4 Island	Original Mix	SK Recordings	Techno		C major
297541	Mecanique	Silverface	Original Mix	District of Corruption	Techno		A# major
297542	Mecanique	Inertia	Original Mix	District of Corruption	Techno		F major
297575	Joachim J.	Genesis	Original Mix	Doctormusik Records	Progressive House		C major
297579	Kelly Holiday	Moscow Time	Electro Mix	Doctormusik Records	Electro House		A major
297580	Kelly Holiday	Moscow Time	Minimal Mix	Doctormusik Records	Electro House		D major
297598	Funk Revenge	White 2005	Original Mix	Eklero Records	Deep House		B major
297600	Funk Revenge	Astral Ohm	Original Mix	Eklero Records	House		G major
297604	Existone	Aveo	Original Mix	Emotive Sounds	Trance		A major
297608	Axwell	I Found U	Classic Mix	Axtone Records	House		A major
297615	Neptuner	This Dream	Original Mix	Helios Recordings	Electro House		A major
297616	Neptuner, Neptuner	This Dream	Neptuner Remix	Helios Recordings	Electro House		A major
297617	Neptuner, Mario Chris	This Dream	Mario Chris Remix	Helios Recordings	Electro House		A major
297620	Espresso Del Lago	Falling Man	Original Mix	Elektrolux	Chill Out		F major
297627	Espresso Del Lago	Cinquo Dias	Original Mix	Elektrolux	Chill Out		G# major
297637	D_Bug	Emulador	Original Mix	Eintakt Records	Minimal		A major
297641	Kong	Ley De Rodman	Original Mix	Eintakt Records	Minimal		D major
297652	Flow	Brredon Arrival	Original Mix	Beat Code	Tech House		B major
297654	Luca Morris	Door In The Floor	Original Mix	Magnetic Disorder	Techno		E major
297656	Luca Morris	Computer	Original Mix	Magnetic Disorder	Techno		E major
297657	2MB	Dirty Life	Original Mix	Kritical Noise Records	Techno		F major
297658	2MB	Dirty Life	Cresh Mix	Kritical Noise Records	Techno		F major
297659	Blu Mar Ten, Tom Middleton	All Over Again feat. Ernesto	Tom Middleton Mix	Exceptional Records	House		F major
297660	Blu Mar Ten	All Over Again feat. Ernesto	Original Mix	Exceptional Records	Deep House		A# major
297666	Sog	Sog 1.1	Original Mix	Kompakt	Minimal		A# major
297667	Sog	Sog 1.2	Original Mix	Kompakt	Minimal		A# major
297675	The Rurals, Deejaykul	Up to You	Deejaykul's Freebass Remix	Peng	Deep House		A major
297677	The Rurals	Up to You	Original Mix	Peng	Deep House		A major
297680	Ynnad Zeugnimod	Miniscula	Original Mix	Sounderground Records	Minimal		A# major
297681	Ynnad Zeugnimod	Interferencias	Original Mix	Sounderground Records	Minimal		C major
297686	Tom Ellis	Street Fight	Original Mix	Trimsound	Deep House		A# major
297692	Tom Ellis	I Smile	Original Mix	Trimsound	Tech House		A major
297695	Tom Ellis	I Smile	Bonus Instrumental Version	Trimsound	Tech House		A major
297696	Paolo Bolognesi, Jurgen Cecconi	Oh My God	Jurgen Cecconi Mix	Fahrenheit	Electronica		A major
297697	Popstitute	Believe	Cencios Mix	Fahrenheit	Electronica		F# major
297698	Groove Garcia	Stream	Original Mix	Khazuma Recordings	Progressive House		F major
297699	Groove Garcia	Stream	Melody Version	Khazuma Recordings	Progressive House		F major
297704	Loaded, Santorini	Denied	Santorini Remix	Fahrenheit	Progressive House		A# major
297705	Loaded, David Lead	Denied	David Lead Remix	Fahrenheit	Progressive House		A# major
297709	Maurizio Benedetta	The Morning	1 AM Mix	Fahrenheit	Progressive House		A major
297717	D. Ochoa, Jose M.	A Finale	Original Mix	Trebol Records	Tech House		C major
297718	D. Ochoa, Jose M.	La Movida	Original Mix	Trebol Records	Tech House		C major
297721	Francesco Vega	It's Psyco	Electro Mix	Ibiza Night Records	Electro House		D major
297724	Jimithesun, Klod	Photomatic	Bad Electro Mix	Ibiza Night Records	Electro House		F major
297735	Jamie Jones	I Like You	Original Mix	Freak N Chic	Tech House		A major
297748	Project 359, Mikel Curcio	Love Is A Battlefield	Mikel Curcio Remix	London Music	Electro House		A major
297751	Mikel Curcio, Tom Sawyer	Tonight	Tom Sawyer Remix	London Music	Electro House		A major
297756	Pistolpuma	Stay Up Late	Original Mix	Houselective Records	Electro House		D# major
297757	Pistolpuma, Lt Wee	Stay Up Late	Lt Wee Remix	Houselective Records	Electro House		G# major
297766	D.Meter	Live Your Life	Original Mix	Grooved Music	Progressive House		A major
297767	Rick Pier O'Neil, RPO	Illusion	RPO Part 1	Frekency Records	Progressive House		F major
297768	The Houselovers, Jordan Rivera	Feel Da Riddim	Jordan Rivera Remix	Groove Sense Records	Progressive House		F major
297769	The Houselovers, T&A	Feel Da Riddim	T&A Miami Grime Mix	Groove Sense Records	Progressive House		D major
297804	Polyharmonique	Lumi Potete Piangere	Original Mix	Good Mood Music	Chill Out		A major
297806	Polyharmonique	Charming Nights	Original Mix	Good Mood Music	Chill Out		A# major
297807	Polyharmonique	Luna	Original Mix	Good Mood Music	Chill Out		F major
297811	Polyharmonique	Piango Gemo	Original Mix	Good Mood Music	Chill Out		E major
297816	Michelle Weeks, Craig Mitchell, Annex	Step Out On Faith	Annex Mix	Slanted Black	House		D major
297818	Michelle Weeks, Craig Mitchell, DJ Reset	Step Out On Faith	DJ Reset Mix	Slanted Black	House		G# major
297849	DJ T.	The Dawn	Original Mix	Get Physical Music	Tech House		F major
297853	Xaver Naudascher	Lost	Original Mix	Supersoul Recordings	Techno		C# major
297879	Mario Piu, Loaded	No Name Again	Original Mix	Fahrenheit	Techno		D# major
297882	Mario Piu, Loaded, Luca Guerrieri	No Name Again	Luca Guerrieri Remix	Fahrenheit	Techno		D# major
297886	Jeff Milligan, Teku, Geoff White	Tesla  (deadbeat). Siamesetwins  (horror Inc), Sympathy for so long  (Jeff Milligan)	Geoff White Remix	Revolver Records Canada	Minimal		A major
297889	DJ Icey	What It Is	Original Mix	Zone Records	Breaks		F major
297890	DJ Icey, Jokkumm La Coste	What It Is	Jokkumm La Coste Mix	Zone Records	Electro House		F major
297895	Woody Bianchi, Andrea Carissimi	Waiting For Your Love	Jazzy Dub	Look At You Records	House		D# major
297967	Soulkeeper	DEN120207495	Original Dub Mix	Zebralution	Progressive House		G major
297969	Soulkeeper	Deeper	Trancesetters Remix	Zebralution	Trance		C major
297993	DJ Zany	P.L.O.R.K.	Original Mix	Fusion Records	Hard Dance		A major
297994	Cenoginerz, DJ Zany	You Like The Bass	DJ Zany Remix	Fusion Records	Hard Dance		A major
297995	Jazzamor	Song For Maggie	Original Mix	BasicLUX Records	Chill Out		A# major
297996	Cenoginerz	You Like The Bass	Original Mix	Fusion Records	Hard Dance		A major
298006	Madison Park, Sona	All About The Groove feat. Paul T	Sona Remix	BasicLUX Records	Deep House		C major
298007	Paul T	Sunset Vibin	Original Mix	BasicLUX Records	Chill Out		D major
298011	DJ Zany, Pavo	Here We Go	Nippletweakerz Remix	Fusion Records	Hard Dance		G# major
298012	DJ Zany, Pavo	Porn	Original Mix	Fusion Records	Hard Dance		D# major
298015	DJ Zany	Hectik	Original Mix	Fusion Records	Hard Dance		A major
